ratio of injured people: , Number Of injured people, Number Of All people 
0.0,0,60
0.0,0,565
0.0,0,1065
24.470736,393,1606
30.703012,642,2091
38.351395,991,2584
36.775246,1129,3070
34.0301,1221,3588
32.642876,1308,4007
30.78796,1391,4518
28.599527,1454,5084
27.372133,1552,5670
26.566013,1654,6226
25.87589,1743,6736
25.136911,1836,7304
24.32329,1905,7832
24.17343,1996,8257
23.591267,2064,8749
23.165064,2143,9251
22.66557,2204,9724
22.534935,2290,10162
22.20237,2361,10634
21.769196,2424,11135
21.572685,2502,11598
21.32916,2590,12143
20.883375,2643,12656
20.822857,2733,13125
20.616598,2822,13688
20.45951,2903,14189
20.276497,2992,14756
20.065489,3064,15270
19.708677,3112,15790
19.8857,3236,16273
19.766542,3319,16791
19.61963,3394,17299
19.530506,3486,17849
19.500574,3561,18261
19.289934,3624,18787
19.319538,3725,19281
19.231743,3795,19733
19.209686,3855,20068
19.133907,3928,20529
19.075006,4013,21038
19.021109,4100,21555
19.002579,4199,22097
18.955606,4287,22616
18.827747,4359,23152
18.823082,4459,23689
18.731192,4544,24259
18.674358,4629,24788
18.74827,4742,25293
18.688004,4823,25808
18.57907,4898,26363
18.66602,5001,26792
18.640215,5083,27269
18.584967,5138,27646
18.592571,5226,28108
18.529648,5303,28619
18.440712,5381,29180
18.417595,5468,29689
18.383791,5544,30157
18.315893,5601,30580
18.339022,5695,31054
18.27585,5760,31517
18.284178,5846,31973
18.242163,5936,32540
18.20852,6013,33023
18.18561,6104,33565
18.217054,6204,34056
18.167114,6290,34623
18.10524,6362,35139
18.062094,6446,35688
18.03442,6518,36142
17.994043,6586,36601
17.995302,6666,37043
18.000746,6760,37554
17.921976,6822,38065
17.945337,6940,38673
17.990458,7051,39193
17.961103,7102,39541
17.937366,7171,39978
17.942501,7252,40418
17.881084,7335,41021
17.905731,7423,41456
17.93161,7525,41965
17.83958,7582,42501
17.851406,7667,42949
17.841932,7750,43437
17.819118,7816,43863
17.829124,7909,44360
17.848787,8010,44877
17.765673,8088,45526
17.805748,8191,46002
17.781595,8280,46565
17.744127,8355,47086
17.738237,8434,47547
17.719357,8506,48004
17.68431,8573,48478
17.658827,8650,48984
17.681335,8739,49425
